iso3,country,hdicode,region,gii_rank_2019,gii_1995,gii_2000,gii_2005,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,mmr_1995,mmr_2000,mmr_2005,mmr_2010,mmr_2011,mmr_2012,mmr_2013,mmr_2014,mmr_2015,mmr_2016,mmr_2017,abr_1995,abr_2000,abr_2005,abr_2010,abr_2011,abr_2012,abr_2013,abr_2014,abr_2015,abr_2016,abr_2017,abr_2018,abr_2019,se_f_1995,se_f_2000,se_f_2005,se_f_2010,se_f_2011,se_f_2012,se_f_2013,se_f_2014,se_f_2015,se_f_2016,se_f_2017,se_f_2018,se_f_2019,se_m_1995,se_m_2000,se_m_2005,se_m_2010,se_m_2011,se_m_2012,se_m_2013,se_m_2014,se_m_2015,se_m_2016,se_m_2017,se_m_2018,se_m_2019,pr_f_1995,pr_f_1997,pr_f_2000,pr_f_2005,pr_f_2010,pr_f_2011,pr_f_2012,pr_f_2013,pr_f_2014,pr_f_2015,pr_f_2016,pr_f_2017,pr_f_2018,pr_f_2019,pr_m_1995,pr_m_1997,pr_m_2000,pr_m_2005,pr_m_2010,pr_m_2011,pr_m_2012,pr_m_2013,pr_m_2014,pr_m_2015,pr_m_2016,pr_m_2017,pr_m_2018,pr_m_2019,lfpr_f_1995,lfpr_f_2000,lfpr_f_2005,lfpr_f_2010,lfpr_f_2011,lfpr_f_2012,lfpr_f_2013,lfpr_f_2014,lfpr_f_2015,lfpr_f_2016,lfpr_f_2017,lfpr_f_2018,lfpr_f_2019,lfpr_m_1995,lfpr_m_2000,lfpr_m_2005,lfpr_m_2010,lfpr_m_2011,lfpr_m_2012,lfpr_m_2013,lfpr_m_2014,lfpr_m_2015,lfpr_m_2016,lfpr_m_2017,lfpr_m_2018,lfpr_m_2019
LVA,Latvia,Very High,,41,0.419,0.286,0.24,0.231,0.221,0.209,0.219,0.223,0.217,0.226,0.212,0.173,0.176,60,34,30,26,26,23,27,24,23,26,19,43.505,21.934,17.268,18.159,17.585,17.011,16.437,15.863,15.289,15.5095,15.73,15.9505,16.171,74.91,82.89,98.00486,98.63736,98.86221,98.91229,98.97973,99.56615,99.44477,99.44477,99.44477,100,100,76.879055,88.22433,97.98851,98.78834,98.70152,98.95331,98.97462,99.25094,99.08039,99.0579,99.0579,100,100,9,9,17,21,20,23,23,23,18,18,18,16,31,30,91,91,83,79,80,77,77,77,82,82,82,84,69,70,52.164,48.87,50.435,53.851,52.968,54.122,53.777,53.256,54.016,55.108,55.439,56.032,55.721,70.146,64.9,65.625,65.283,65.539,66.662,66.188,66.569,67.48,67.38,68.289,68.833,68.383
MAR,Morocco,Medium,AS,111,0.722,0.7,0.564,0.533,0.499,0.496,0.492,0.492,0.471,0.46,0.458,0.455,0.454,245,188,131,92,86,81,78,76,74,72,70,37.096,34.821,35.992,32.713,32.894,33.075,33.256,33.437,33.618,32.972,32.326,31.68,31.034,11.87,14.88,17.94,20.68,21.944,23.208,24.472,25.736,25.736,27,27.98,28.96,29.08900478,20.36,23.91,27.74,30.22,30.976,31.732,32.488,33.244,33.244,34,34.78,35.56,35.95105301,0.672268908,0.672268908,0.672268908,6.386554622,6.722689076,10.97744361,10.97744361,10.97744361,10.97744361,15.72815534,18.44660194,18.44660194,18.44660194,18.44660194,99.32773109,99.32773109,99.32773109,93.61344538,93.27731092,89.02255639,89.02255639,89.02255639,89.02255639,84.27184466,81.55339806,81.55339806,81.55339806,81.55339806,22.91,24.292,26.248,25.526,25.536,24.788,24.601,23.805,23.023,22.255,21.504,21.578,21.469,78.002,76.932,75.839,75.543,75.539,74.935,74.319,73.434,72.476,71.541,70.534,70.331,70.139
MCO,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.555555556,5.555555556,22.22222222,20.83333333,26.08695652,19.04761905,19.04761905,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,33.33333333,33.33333333,94.44444444,94.44444444,77.77777778,79.16666667,73.91304348,80.95238095,80.95238095,79.16666667,79.16666667,79.16666667,79.16666667,79.16666667,66.66666667,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova (Republic of),High,ECA,46,0.48,0.412,0.284,0.274,0.245,0.246,0.242,0.255,0.237,0.227,0.219,0.214,0.204,67,44,34,29,21,22,21,23,22,20,19,63.178,58.072,30.955,27.164,26.8846,26.6052,26.3258,26.0464,25.767,24.929,24.091,23.253,22.415,71.76,76.47,85.89277857,92.13804,92.58181,93.6488,94.26644,95.20702,95.50932,95.86849,96.22766,96.58683,96.58683,80.91,84.91,91.47168571,95.72085,96.341,96.64703,96.92689,97.30824,97.37907,97.62202333,97.86497667,98.10793,98.10793,4.807692308,4.807692308,7.920792079,21.78217822,18.81188119,19.8019802,19.8019802,19.8019802,17.82178218,21.78217822,21.78217822,22.77227723,22.77227723,25.74257426,95.19230769,95.19230769,92.07920792,78.21782178,81.18811881,80.1980198,80.1980198,80.1980198,82.17821782,78.21782178,78.21782178,77.22772277,77.22772277,74.25742574,49.847,50.048,46.259,38.585,39.171,38.015,38.496,38.267,41.269,39.982,39.287,40.949,40.49,52.954,52.069,50.812,45.215,45.812,43.791,44.745,44.663,47.255,45.912,45.746,46.168,45.983
MDG,Madagascar,Low,SSA,,,,,,,,,,,,,,,623,559,526,453,432,413,394,378,363,348,335,149.206,155.119,149.473,134.274,131.4256,128.5772,125.7288,122.8804,120.032,117.4215,114.811,112.2005,109.59,,,,,,,,,,,,,,,,,,,,,,,,,,,3.731343284,3.731343284,8,8.4,12.13872832,12.13872832,15.8490566,15.8490566,20.52980132,20.52980132,20.09345794,19.62616822,19.62616822,16.90140845,96.26865672,96.26865672,92,91.6,87.86127168,87.86127168,84.1509434,84.1509434,79.47019868,79.47019868,79.90654206,80.37383178,80.37383178,83.09859155,84.071,84.136,84.162,87.118,86.862,86.554,85.677,84.672,83.517,83.427,83.356,83.298,83.372,88.932,89.155,89.149,91.025,90.643,90.178,90.05,89.865,89.62,89.345,89.1,88.873,88.938
MDV,Maldives,High,SA,82,0.634,0.519,0.41,0.405,0.392,0.383,0.375,0.373,0.368,0.366,0.36,0.358,0.369,253,125,75,67,62,60,58,56,54,54,53,102.577,44.487,22.08,15.335,14.4272,13.5194,12.6116,11.7038,10.796,10.0495,9.303,8.5565,7.81,20.52804936,17.92432366,10.72528073,23.57147709,27.34,30.452,33.564,36.676,39.788,42.9,44.94,44.94,45.41076032,20.77772546,17.59938168,15.02743243,29.434678,32.65,35.56,38.47,41.38,44.29,47.2,49.28,49.28,49.56869299,6.25,6.25,6,12,6.493506494,6.493506494,6.493506494,6.493506494,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,4.597701149,93.75,93.75,94,88,93.50649351,93.50649351,93.50649351,93.50649351,94.11764706,94.11764706,94.11764706,94.11764706,94.11764706,95.40229885,28.17,37.429,40.383,44.092,44.852,45.607,46.34,47.035,45.046,42.948,42.633,41.573,41.634,73.43,71.022,73.299,77.092,78.253,79.486,80.752,81.982,82.4,82.008,82.569,83.239,84.227
MEX,Mexico,High,LAC,71,0.485,0.469,0.43,0.403,0.394,0.368,0.362,0.359,0.347,0.341,0.336,0.324,0.322,57,55,54,46,43,41,39,38,36,34,33,84.755,82.98,76.14,70.295,69.43,68.565,67.7,66.835,65.97,64.56875,63.1675,61.76625,60.365,35.14,36.98989,44.53027,51.01458,53.337915,55.66125,54.80387,56.05904,57.84449,58.42535,60.22791,62.22734,62.22734,41.64,43.31909,49.59239,54.84023,57.743835,60.64744,58.49378,59.04298,60.98548,61.08803,62.12762,64.2385,64.2385,13.85350318,13.85350318,15.92356688,23.72611465,24.84076433,25.47770701,35.98726115,35.98726115,36.78343949,40.57507987,40.60509554,41.40127389,48.40764331,48.40764331,86.14649682,86.14649682,84.07643312,76.27388535,75.15923567,74.52229299,64.01273885,64.01273885,63.21656051,59.42492013,59.39490446,58.59872611,51.59235669,51.59235669,37.628,38.857,41.308,43.079,43.411,44.473,44.494,43.511,43.866,43.917,43.598,44.113,44.185,83.204,82.487,81.424,79.738,79.448,79.729,79.316,79.126,78.986,78.75,78.681,78.577,78.452
MHL,Marshall Islands,High,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.64424,91.64424,91.64424,91.64424,91.64424,91.64424,91.64424,91.64424,91.64424,91.64424,,,,92.46859,92.46859,92.46859,92.46859,92.46859,92.46859,92.46859,92.46859,92.46859,92.46859,,,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,9.090909091,9.090909091,9.090909091,9.090909091,6.060606061,,,96.96969697,96.96969697,96.96969697,96.96969697,96.96969697,96.96969697,96.96969697,90.90909091,90.90909091,90.90909091,90.90909091,93.93939394,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,North Macedonia,High,ECA,37,,,,,,,,,0.162,0.162,0.152,0.147,0.143,15,13,10,8,8,8,8,8,8,8,7,43.173,34.775,23.721,20.697,20.1614,19.6258,19.0902,18.5546,18.019,17.445,16.871,16.297,15.723,,,,,,,,,40.16013,40.47339409,40.47339409,41.57738491,41.82646897,,,,,,,,,55.60108,56.0347893,56.0347893,57.56324754,57.68280295,3.333333333,3.333333333,6.666666667,19.16666667,32.5,30.89430894,32.5203252,34.14634146,33.33333333,33.33333333,33.33333333,37.5,38.33333333,39.16666667,96.66666667,96.66666667,93.33333333,80.83333333,67.5,69.10569106,67.4796748,65.85365854,66.66666667,66.66666667,66.66666667,62.5,61.66666667,60.83333333,42.556,40.922,42.046,42.788,43.437,43.009,44.372,43.919,43.53,42.348,42.717,43.013,42.986,67.008,65.543,65.963,68.634,67.649,67.397,67.276,68.002,67.652,67.757,67.757,67.529,67.346
MLI,Mali,Low,SSA,158,0.71,0.709,0.706,0.672,0.676,0.677,,0.68,0.681,0.678,0.675,0.675,0.671,886,836,691,660,663,663,663,642,620,590,562,196.339,190.946,186.263,185.469,184.1562,182.8434,181.5306,180.2178,178.905,176.4605,174.016,171.5715,169.127,1.45,1.68,2.17,8.066878,7.72813,7.6321525,7.536175,7.4401975,7.34422,7.34422,7.34422,7.34422,7.34422,5.68,7.183976,8.878946,13.918396,15.09351,15.3591675,15.624825,15.8904825,16.15614,16.381122,16.381122,16.381122,16.381122,12.24489796,12.24489796,12.24489796,10.20408163,10.20408163,10.20408163,10.20408163,,9.523809524,8.843537415,8.843537415,8.843537415,8.843537415,9.523809524,87.75510204,87.75510204,87.75510204,89.79591837,89.79591837,89.79591837,89.79591837,,90.47619048,91.15646259,91.15646259,91.15646259,91.15646259,90.47619048,59.718,59.975,60.235,60.331,60.316,60.339,60.35,60.333,61.249,61.249,61.252,61.261,61.248,79.817,79.918,80.75,81.874,82.187,82.444,82.572,82.566,81.172,81.038,80.855,80.618,80.613
MLT,Malta,Very High,,40,0.308,0.293,0.288,0.266,0.259,0.245,0.202,0.194,0.196,0.192,0.194,0.191,0.175,10,9,8,8,7,7,7,6,7,6,6,11.994,18.382,20.461,18.031,17.0822,16.1334,15.1846,14.2358,13.287,13.185,13.083,12.981,12.879,29.44778665,33.34426,58.78283,63.37577,64.67195,68.55354,71.07389,72.68831,73.22664,74.2894,76.49864,78.70788,78.70788,40.18240276,44.69796,67.83628,73.08541,75.02397,78.21387,80.39936,81.15891,81.97095,82.16909,83.871205,85.57332,85.57332,5.797101449,5.797101449,9.230769231,9.230769231,8.695652174,8.695652174,8.695652174,14.28571429,14.28571429,12.85714286,12.85714286,11.94029851,11.94029851,14.92537313,94.20289855,94.20289855,90.76923077,90.76923077,91.30434783,91.30434783,91.30434783,85.71428571,85.71428571,87.14285714,87.14285714,88.05970149,88.05970149,85.07462687,28.334,29.887,29.501,33.949,35.311,38.355,40.351,41.752,42.195,43.475,44.502,46.149,46.047,71.905,70.613,67.657,66.445,66.726,65.996,66.804,67.158,67.011,66.939,66.953,67.32,67.06
MMR,Myanmar,Medium,EAP,118,,,,0.533,0.549,0.525,0.524,0.526,0.466,0.481,0.484,0.483,0.478,382,340,299,265,259,254,251,247,246,245,250,42.355,39.063,37.088,33.129,32.4684,31.8078,31.1472,30.4866,29.826,29.49675,29.1675,28.83825,28.509,15.21,17.2,19.44,22.93,23.984,25.038,26.092,27.146,27.146,28.2,28.74,28.74,28.74,11.32,11.71,12.89,15.26,16.448,17.636,18.824,20.012,20.012,21.2,22.34,22.34,23.48,,,,,4.048582996,2.936378467,4.580152672,4.580152672,4.287901991,13.03462322,10.0456621,10.24464832,10.24464832,11.56773212,,,,,95.951417,97.06362153,95.41984733,95.41984733,95.71209801,86.96537678,89.9543379,89.75535168,89.75535168,88.43226788,60.671,59.113,56.254,53.628,53.329,52.975,52.587,52.21,51.858,49.891,48.003,47.704,47.497,85.489,84.923,83.754,82.299,82.072,81.776,81.428,81.077,80.744,79.325,77.907,77.59,77.361
MNE,Montenegro,Very High,ECA,26,,,,0.217,0.205,0.175,0.176,0.165,0.158,0.135,0.131,0.127,0.109,12,12,9,7,7,7,6,6,6,6,6,26.278,21.847,16.482,18.717,17.6396,16.5622,15.4848,14.4074,13.33,12.32575,11.3215,10.31725,9.313,,74.32904614,78.7626775,83.25812125,84.15721,85.06600784,85.98461962,86.91315131,86.91315131,87.03689393,87.03689393,87.96299899,87.96299899,,88.99818827,91.5626625,94.14464375,94.66104,95.18026875,95.70234555,96.22728601,96.22728601,96.36428963,96.36428963,97.52830015,98.18601054,,,,,11.11111111,12.34567901,17.28395062,16.04938272,17.28395062,17.28395062,23.45679012,23.45679012,23.45679012,28.39506173,,,,,88.88888889,87.65432099,82.71604938,83.95061728,82.71604938,82.71604938,76.54320988,76.54320988,76.54320988,71.60493827,42.254,41.514,41.213,41.449,41.465,43.227,43.072,45.258,46.605,46.332,46.01,46.404,46.484,57.433,56.238,55.492,55.814,55.777,56.518,56.681,58.892,59.431,60.661,61.015,62.843,62.778
MNG,Mongolia,High,EAP,71,0.502,0.449,0.414,0.409,0.407,0.319,0.321,0.322,0.326,0.317,0.318,0.32,0.322,206,155,98,66,59,54,51,49,47,46,45,38.418,31.432,21.548,19.205,20.6802,22.1554,23.6306,25.1058,26.581,27.684,28.787,29.89,30.993,70.74,77.76004,81.526335,85.29263,86.38699575,87.4813615,88.57572725,89.67009301,89.67009301,90.9,91.22,91.22,91.49138376,78.88,82.80058,83.45067,84.10076,84.53358736,84.96641471,85.39924207,85.83206943,85.83206943,86.1,86.34,86.34,86.13348867,7.894736842,7.894736842,10.52631579,6.666666667,3.947368421,3.947368421,14.86486486,14.86486486,14.86486486,14.47368421,17.10526316,17.10526316,17.10526316,17.33333333,92.10526316,92.10526316,89.47368421,93.33333333,96.05263158,96.05263158,85.13513514,85.13513514,85.13513514,85.52631579,82.89473684,82.89473684,82.89473684,82.66666667,53.276,54.284,53.641,53.138,53.889,53.786,53.714,53.968,53.759,52.692,53.359,53.424,53.304,65.335,65.92,64.752,65.073,66.387,65.21,66.206,66.801,67.199,66.181,66.779,66.501,66.384
MOZ,Mozambique,Low,SSA,127,,0.627,0.608,0.582,0.573,0.565,0.559,,0.546,0.542,0.528,0.527,0.523,1110,798,577,412,389,371,356,339,318,301,289,187.355,186.007,181.204,170.828,168.4914,166.1548,163.8182,161.4816,159.145,156.51525,153.8855,151.25575,148.626,,5.186741839,5.437713218,5.855998851,7.27817,8.700341149,10.1225123,11.54468345,12.9668546,13.96321,13.96321,13.96321,13.96321,,12.24401532,15.80061024,18.0744988,19.41551,20.7565212,22.0975324,23.4385436,24.7795548,27.2866627,19.90741,19.90741,19.90741,25.2,25.2,30,34.8,39.2,39.2,39.2,39.2,39.2,39.6,39.6,39.6,39.6,41.2,74.8,74.8,70,65.2,60.8,60.8,60.8,60.8,,60.4,60.4,60.4,60.4,58.8,86.87,87.547,86.552,82.826,81.93,80.978,79.967,78.895,77.757,77.69,77.61,77.526,77.281,80.668,82.697,83.05,81.963,81.636,81.274,80.872,80.43,79.945,79.702,79.407,79.085,79.005
MRT,Mauritania,Low,SSA,151,0.805,0.755,,0.663,0.659,0.655,,0.642,0.64,0.637,0.627,0.635,0.634,798,834,826,824,822,812,805,796,785,777,766,103.956,100.386,93.803,85.806,84.4482,83.0904,81.7326,80.3748,79.017,77.025,75.033,73.041,71.049,3.36,4.92,6.4,8.27,8.976,9.682,10.388,11.094,11.094,11.8,12.24,12.68,12.74896857,12,15.21,18.35,20.88,21.524,22.168,22.812,23.456,23.456,24.1,24.5,24.9,25.03682561,0.740740741,0.740740741,2.962962963,,19.20529801,19.20529801,19.20529801,,22.16748768,22.16748768,22.16748768,25.17006803,20.26143791,20.26143791,99.25925926,99.25925926,97.03703704,,80.79470199,80.79470199,80.79470199,,77.83251232,77.83251232,77.83251232,74.82993197,79.73856209,79.73856209,29.592,29.76,28.626,28.052,28.003,27.979,28.104,28.24,28.414,28.525,28.656,28.802,28.85,73.173,72.163,68.073,64.528,63.853,63.194,63.141,63.085,63.13,63.194,63.171,63.092,63.055
MUS,Mauritius,Very High,SSA,78,0.49,0.479,0.392,0.39,0.375,0.382,0.37,0.377,0.403,0.395,0.386,0.382,0.347,70,59,53,66,54,63,60,70,73,67,61,42.571,36.289,36.482,34.87,33.5722,32.2744,30.9766,29.6788,28.381,27.7195,27.058,26.3965,25.735,32.46,33.34426,43.08,49.61,49.36862,52.288,54.966,57.644,60.322,63,64.34,65.68,65.82596337,44.44,44.69796,50.73427364,56.77058727,57.97785,60.8,62.2,63.6,65,66.4,67.26,68.12,68.47050719,7.575757576,7.575757576,5.714285714,17.14285714,18.84057971,18.84057971,18.84057971,18.84057971,18.84057971,11.5942029,11.5942029,11.5942029,11.5942029,20,92.42424242,92.42424242,94.28571429,82.85714286,81.15942029,81.15942029,81.15942029,81.15942029,81.15942029,88.4057971,88.4057971,88.4057971,88.4057971,80,39.085,39.71,41.274,43.046,42.136,42.489,44.339,44.618,45.692,44.768,45.078,45.187,45.151,81.159,78.859,77.089,74.101,73.313,73.345,73.51,73.829,73.419,73.013,73.218,72.359,71.985
MWI,Malawi,Low,SSA,142,0.712,0.683,0.651,0.603,0.596,0.591,0.587,0.596,0.594,0.589,0.585,0.582,0.565,849,749,610,444,428,413,396,381,370,358,349,159.343,160.904,155.714,154.528,152.471,150.414,148.357,146.3,144.243,141.35,138.457,135.564,132.671,3.33,4.5432,5.66,11.14,12.092,13.044,13.996,14.948,14.948,15.9,16.74,17.58,17.58,10.75,13.2,14.64,21.62,22.276,22.932,23.588,24.244,24.244,24.9,25.4,25.9,26.05175781,5.649717514,5.649717514,9.32642487,13.61256545,20.83333333,22.27979275,22.27979275,22.27979275,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,22.91666667,94.35028249,94.35028249,90.67357513,86.38743455,79.16666667,77.72020725,77.72020725,77.72020725,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,77.08333333,76.394,75.905,74.363,73.297,73.099,72.892,72.678,72.659,72.654,72.634,72.616,72.596,72.593,79.324,79.98,80.618,82.1,82.412,82.696,82.951,82.575,82.216,81.774,81.346,80.913,81.102
MYS,Malaysia,Very High,EAP,59,0.357,0.304,0.285,0.273,0.277,0.274,0.268,0.265,0.27,0.264,0.263,0.251,0.253,43,38,31,30,30,30,30,30,30,29,29,19.092,14.763,13.009,12.746,12.8266,12.9072,12.9878,13.0684,13.149,13.21525,13.2815,13.34775,13.414,45.29,49.93236,42.90719,65.07624,66.26353,67.25293833,68.07744528,68.7645344,70.4822572,72.19998,72.19998,72.19998,72.19998,55.72,58.82693,49.91884,71.31103,72.972,74.904,76.836,78.768,80.7,76.10411,76.10411,76.10411,76.52552306,10.34482759,10.34482759,14.50381679,13.14878893,13.98601399,12.93706294,13.24041812,13.87900356,14.23487544,13.24041812,12.93706294,13.10344828,15.80756014,15.51724138,89.65517241,89.65517241,85.49618321,86.85121107,86.01398601,87.06293706,86.75958188,86.12099644,85.76512456,86.75958188,87.06293706,86.89655172,84.19243986,84.48275862,44.802,44.634,44.018,43.498,45.154,46.525,49.202,50.131,50.468,50.62,50.609,50.593,50.748,78.117,78.135,77.388,76.163,76.939,77.655,77.979,77.581,77.602,77.191,77.09,77.04,77.102
NAM,Namibia,Medium,SSA,106,0.546,0.544,0.519,0.502,0.499,0.493,0.487,,0.463,0.46,0.451,0.441,0.44,311,348,346,266,256,240,231,223,217,207,195,91.686,89.224,81.955,81.058,80.6428,80.2276,79.8124,79.3972,78.982,75.14325,71.3045,67.46575,63.627,29.71,26.6,30.15,33.27,34.476,35.682,36.888,38.094,38.094,39.3,39.88,40.46,40.56738384,32.64,29.25,31.08,34.44,35.592,36.744,37.896,39.048,39.048,40.2,41.04,41.88,42.0042855,17.34693878,17.34693878,20.40816327,26.92307692,25,25,25,25,,37.69230769,36.30136986,36.30136986,39.7260274,36.95652174,82.65306122,82.65306122,79.59183673,73.07692308,75,75,75,75,,62.30769231,63.69863014,63.69863014,60.2739726,63.04347826,48.361,47.949,50.12,52.585,53.182,53.791,58.116,57.445,56.347,55.306,55.321,55.468,56.089,62.602,62.705,62.628,63.006,63.131,63.266,64.612,65.025,65.396,65.734,64.418,62.922,63.331
NER,Niger,Low,SSA,154,0.801,0.797,0.703,,0.683,0.678,0.674,0.67,0.668,0.659,0.646,0.645,0.642,848,813,755,663,639,616,594,573,555,530,509,222.766,219.575,215.549,209.618,207.843,206.068,204.293,202.518,200.743,197.19175,193.6405,190.08925,186.538,1.03,1.44,2.01,2.44,2.732,3.024,3.316,3.608,3.608,3.9,4.28,4.28,4.66,5.13,6.54,7.26,7.77,7.936,8.102,8.268,8.434,8.434,8.6,8.88,8.88,8.99986914,1.204819277,1.204819277,1.204819277,12.38938053,,13.27433628,13.27433628,13.27433628,13.27433628,13.27433628,14.61988304,16.95906433,16.95906433,16.95906433,98.79518072,98.79518072,98.79518072,87.61061947,,86.72566372,86.72566372,86.72566372,86.72566372,86.72566372,85.38011696,83.04093567,83.04093567,83.04093567,69.087,68.945,68.835,68.596,68.544,66.132,63.624,61.037,60.992,60.939,60.894,60.855,60.586,89.864,90.202,90.903,91.03,91.063,89.245,87.045,84.412,84.255,84.149,84.017,83.862,83.671
NGA,Nigeria,Low,SSA,,,,,,,,,,,,,,,1190,1200,1080,978,972,963,951,943,931,925,917,143.433,136.636,130.282,123.176,121.9508,120.7256,119.5004,118.2752,117.05,114.62,112.19,109.76,107.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.267973856,5.756929638,7.280513919,6.724511931,6.609808102,6.609808102,6.609808102,5.769230769,5.769230769,5.769230769,5.769230769,4.112554113,,,96.73202614,94.24307036,92.71948608,93.27548807,93.3901919,93.3901919,93.3901919,94.23076923,94.23076923,94.23076923,94.23076923,95.88744589,55.226,55.266,55.232,55.26,55.251,52.703,50.239,49.566,48.851,48.109,48.144,48.183,47.872,65.87,64.713,64.204,64.502,64.609,62.283,59.906,59.469,58.914,58.214,58.155,57.99,57.875
NIC,Nicaragua,Medium,LAC,101,0.626,0.593,0.518,0.494,0.456,0.453,0.45,0.444,0.442,0.433,0.429,0.429,0.428,201,162,131,112,110,108,105,103,101,100,98,147.363,127.549,112.722,102.328,100.6512,98.9744,97.2976,95.6208,93.944,91.7055,89.467,87.2285,84.99,21.83,28.63,33.88,39.44,41.012,42.584,44.156,45.728,45.728,47.3,48.28,48.28,48.46432692,29.65,31.48,34.87,38.3,39.74,41.18,42.62,44.06,44.06,45.5,46.56,46.56,46.79803681,10.75268817,10.75268817,9.677419355,20.65217391,20.65217391,40.2173913,40.2173913,40.2173913,42.39130435,41.30434783,45.65217391,45.65217391,45.65217391,44.56521739,89.24731183,89.24731183,90.32258065,79.34782609,79.34782609,59.7826087,59.7826087,59.7826087,57.60869565,58.69565217,54.34782609,54.34782609,54.34782609,55.43478261,33.824,38.545,44.138,47.103,47.577,48.061,48.544,49.011,49.423,49.798,50.156,49.447,49.669,85.4,86.466,82.165,82.967,83.352,83.716,84.051,84.343,84.187,84.041,83.868,84.282,84.232
NLD,Netherlands,Very High,,4,0.109,0.091,0.083,0.054,0.051,0.051,0.049,0.048,0.048,0.046,0.045,0.043,0.043,12,13,11,7,7,7,6,6,6,6,5,7.111,6.172,7.136,5.294,5.1248,4.9556,4.7864,4.6172,4.448,4.283,4.118,3.953,3.788,78.64,81.82,86.41867,87.13821,87.24456,87.68165,86.02547,86.17873,86.37798,86.56447,87.0697,87.57493,87.57493,85.89,88.28733333,90.41095,90.60103,90.21835,90.46614,89.55146,90.27729,90.37665,90.0668,90.19333,90.31986,90.31986,28.44444444,28.44444444,32.88888889,34.22222222,38.66666667,39.11111111,37.77777778,37.77777778,37.77777778,36.44444444,36.44444444,35.55555556,35.55555556,33.77777778,71.55555556,71.55555556,67.11111111,65.77777778,61.33333333,60.88888889,62.22222222,62.22222222,62.22222222,63.55555556,63.55555556,64.44444444,64.44444444,66.22222222,47.307,53.22,54.887,58.032,58.092,58.625,58.537,57.814,58.204,58.019,58.079,58.372,58.263,69.947,72.785,71.219,71.017,70.335,70.725,70.623,70.375,70.083,69.544,69.209,69.414,69.083
NOR,Norway,Very High,,6,0.121,0.108,0.085,0.075,0.071,0.067,0.062,0.058,0.054,0.052,0.048,0.046,0.045,6,6,5,4,4,3,3,3,3,3,2,15.748,12.818,9.977,8.913,8.3382,7.7634,7.1886,6.6138,6.039,5.8145,5.59,5.3655,5.141,69.01,74.92,96.55216,94.48216,97.36273,96.93142333,96.50011667,96.06881,96.29866,96.06669,95.3928,95.3928,95.3928,75.51,87.44043333,96.66366,93.25077,96.74902,96.03257,95.31612,94.59967,95.11297,94.8103,94.1259,94.1259,94.8599762,36.36363636,36.36363636,36.36363636,37.86982249,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,41.42011834,41.42011834,40.82840237,63.63636364,63.63636364,63.63636364,62.13017751,60.35502959,60.35502959,60.35502959,60.35502959,60.35502959,60.35502959,60.35502959,58.57988166,58.57988166,59.17159763,57.102,61.199,60.705,61.771,61.634,61.598,61.554,61.35,61.331,60.873,60.264,60.44,60.37,69.247,72.814,70.294,69.643,68.783,69.004,68.43,68.077,68.425,67.845,66.894,67.379,67.192
NPL,Nepal,Medium,SA,110,0.714,0.669,0.647,0.525,0.516,0.507,,0.494,0.493,0.477,0.467,0.456,0.452,743,553,415,305,285,266,248,231,236,200,186,131.858,125.086,104.87,88.898,86.3322,83.7664,81.2006,78.6348,76.069,73.332,70.595,67.858,65.121,8.14,9.51,13.3,17.68,19.284,20.888,22.492,24.096,24.096,25.7,27.34,28.98,29.27355191,29.38,30,34.37,38.22,38.976,39.732,40.488,41.244,41.244,42,43.08,44.16,44.16,4.528301887,4.528301887,7.924528302,6.41509434,33.16498316,33.16498316,33.16498316,29.48073702,29.48073702,29.54924875,29.57983193,29.57983193,33.53293413,33.53293413,95.47169811,95.47169811,92.0754717,93.58490566,66.83501684,66.83501684,66.83501684,,70.51926298,70.45075125,70.42016807,70.42016807,66.46706587,66.46706587,81.73,81.407,80.127,79.528,79.726,80.088,80.564,81.062,81.519,82.042,82.438,82.712,82.8,90.776,90.388,89.146,87.414,87.036,86.64,86.215,85.758,85.274,85.149,85.057,84.993,85.104
NRU,Nauru,,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,5.263157895,5.263157895,5.263157895,5.263157895,10.52631579,10.52631579,10.52631579,,,,99.9,99.9,99.9,99.9,94.73684211,94.73684211,94.73684211,94.73684211,89.47368421,89.47368421,89.47368421,,,,,,,,,,,,,,,,,,,,,,,,,,
